Loading channels: ...working... done
libtorch                       2.1.0 cuda118_h7595d50_302  anaconda/cloud/conda-forge
libtorch                       2.1.0 cuda118_h7595d50_303  anaconda/cloud/conda-forge
libtorch                       2.1.0 cuda120_h86db2e7_302  anaconda/cloud/conda-forge
libtorch                       2.1.0 cuda120_h86db2e7_303  anaconda/cloud/conda-forge
libtorch                       2.1.2 cpu_generic_h7795521_0  anaconda/cloud/conda-forge
libtorch                       2.1.2 cpu_generic_ha017de0_1  anaconda/cloud/conda-forge
libtorch                       2.1.2 cpu_mkl_hadc400e_100  anaconda/cloud/conda-forge
libtorch                       2.1.2 cpu_mkl_hcefb67d_101  anaconda/cloud/conda-forge
libtorch                       2.1.2 cuda112_hce05544_300  anaconda/cloud/conda-forge
libtorch                       2.1.2 cuda112_hf51c5c5_301  anaconda/cloud/conda-forge
libtorch                       2.1.2 cuda118_h12fe058_301  anaconda/cloud/conda-forge
libtorch                       2.1.2 cuda118_h3d7bd98_300  anaconda/cloud/conda-forge
libtorch                       2.1.2 cuda120_h2aa5df7_301  anaconda/cloud/conda-forge
libtorch                       2.1.2 cuda120_h86db2e7_300  anaconda/cloud/conda-forge
libtorch-gpu                  0.1.12               0  anaconda/pkgs/free  
libtorch-gpu                  0.1.12         nomkl_0  anaconda/pkgs/free  
mp_pytorch                     0.1.3    pyhd8ed1ab_0  anaconda/cloud/conda-forge
mp_pytorch                     0.1.4    pyhd8ed1ab_0  anaconda/cloud/conda-forge
nirtorch                         1.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2pytorch                   0.4.1    pyh707e725_1  anaconda/cloud/conda-forge
onnx2pytorch                   0.4.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                     1.5.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                     1.5.2    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                     1.5.3    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                     1.5.4    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                     1.5.6    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                     1.5.7    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                     1.5.8    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                    1.5.10    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                    1.5.11    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                    1.5.12    pyhd8ed1ab_0  anaconda/cloud/conda-forge
onnx2torch                    1.5.13    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch                2.7.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.10.1    pyhd8ed1ab_0  anaconda/cloud/conda-forge
open-clip-torch               2.11.0    pyhd8ed1ab_0  anaconda/cloud/conda-forge
